Presence,Long,Lat,alt,mdr
0,-92.2458,15.5875,1515,138
0,-96.1125,16.09583,1393,118
0,-97.7458,16.1375,21,148
0,-96.3375,16.2125,2846,119
0,-94.2208,16.32083,33,120
0,-97.9958,16.4125,503,153
0,-97.6042,16.47917,646,159
0,-97.6292,16.62083,722,160
0,-94.3792,16.6375,284,114
0,-95.7125,16.75417,703,127
0,-98.5625,17.10417,1223,152
0,-97.3625,17.19583,2376,169
0,-96.3792,17.19583,2929,126
0,-92.3292,17.20417,925,120
0,-96.8792,17.2125,1756,160
0,-95.6458,17.2375,418,118
0,-91.7625,17.29583,472,114
0,-91.7792,17.32083,465,114
0,-96.0625,17.37917,1550,118
0,-91.7042,17.49583,52,110
0,-99.2125,17.54583,1578,148
0,-96.9458,17.5875,1514,149
0,-98.6875,17.72917,1463,155
0,-98.8708,17.82083,1170,156
0,-98.7542,17.82917,1613,157
0,-96.4542,17.90417,574,105
0,-97.9125,17.9125,1650,174
0,-96.8542,17.92083,2204,132
0,-88.9875,17.97917,81,100
0,-95.5458,18.02917,51,103
0,-99.8875,18.12083,1330,138
0,-95.6125,18.1625,13,101
0,-93.5625,18.2625,9,100
0,-90.3708,18.3125,79,120
0,-96.5958,18.35417,69,112
0,-94.8208,18.35417,960,90
0,-97.1458,18.4625,2246,147
0,-88.8708,18.70417,126,109
0,-90.9958,18.74583,15,124
0,-99.1125,18.79583,1014,162
0,-102.129,18.80417,259,149
1,-103.826,18.84068,17,131
0,-99.3958,18.90417,2101,144
1,-103.788,18.92501,92,132
1,-103.866,18.96356,56,131
0,-88.3458,19.00417,16,101
1,-103.929,19.06424,131,130
1,-104.15,19.10552,372,132
0,-98.9958,19.14583,2969,155
0,-96.9958,19.22917,1500,107
0,-90.5625,19.2375,23,128
0,-101.221,19.2625,1714,159
0,-101.471,19.2625,1962,151
1,-104.739,19.27102,278,124
1,-104.08,19.2958,957,136
1,-104.723,19.33649,265,132
1,-103.779,19.34527,614,144
0,-100.521,19.37083,986,156
1,-104.284,19.37755,490,139
1,-104.792,19.38773,200,128
1,-103.874,19.41432,2012,136
1,-104.501,19.44924,526,138
1,-103.79,19.47066,992,146
1,-104.276,19.4962,963,141
0,-99.6042,19.5125,2802,151
1,-104.402,19.52476,860,141
0,-89.5292,19.5375,139,129
1,-104.356,19.53976,1185,141
1,-104.133,19.54189,2511,128
0,-87.4958,19.55417,0,100
1,-103.882,19.57345,869,150
1,-104.892,19.58069,265,134
0,-88.7542,19.59583,78,126
1,-104.425,19.63536,448,145
1,-104.674,19.63928,863,143
1,-104.845,19.64076,598,139
1,-104.175,19.66836,1409,147
1,-104.069,19.68139,1308,149
1,-104.597,19.687,401,148
1,-103.91,19.70099,933,151
0,-88.5042,19.7125,43,125
1,-104.987,19.72095,291,140
1,-103.915,19.76255,1136,149
0,-99.6042,19.7875,2776,152
0,-104.004,19.7875,940,153
1,-104.818,19.84958,456,148
1,-104.06,19.86151,1029,150
1,-104.68,19.86692,559,150
1,-104.268,19.88157,1544,146
0,-102.413,19.89583,1947,159
1,-104.184,19.90626,1558,146
1,-105.254,19.92049,124,135
0,-104.129,19.92083,1071,146
